end_use,time_range,variable,region,period,unit,value
Res,1990-1999,Buildings and Infrastructure Lifetime,Brazil,2025,a,100.0
Res,1990-1999,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Canada,2025,a,51.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Chile,2025,a,60.0
Res,1990-1999,Buildings and Infrastructure Lifetime,China,2025,a,26.6
Res,1990-1999,Buildings and Infrastructure Lifetime,Cyprus,2025,a,125.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Czech Republic,2025,a,115.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Europe,2025,a,65.75
Res,1990-1999,Buildings and Infrastructure Lifetime,France,2025,a,125.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Germany,2025,a,121.2
Res,1990-1999,Buildings and Infrastructure Lifetime,Greece,2025,a,70.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Hungary,2025,a,125.0
Res,1990-1999,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Japan,2025,a,37.05
Res,1990-1999,Buildings and Infrastructure Lifetime,Mexico,2025,a,56.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Netherlands,2025,a,112.5
Res,1990-1999,Buildings and Infrastructure Lifetime,North America,2025,a,70.85
Res,1990-1999,Buildings and Infrastructure Lifetime,Norway,2025,a,125.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Oceania,2025,a,59.15
Res,1990-1999,Buildings and Infrastructure Lifetime,Serbia,2025,a,100.0
Res,1990-1999,Buildings and Infrastructure Lifetime,Slovenia,2025,a,120.0
Res,1990-1999,Buildings and Infrastructure Lifetime,South America,2025,a,66.0
Res,1990-1999,Buildings and Infrastructure Lifetime,South Korea,2025,a,20.5
Res,1990-1999,Buildings and Infrastructure Lifetime,Switzerland,2025,a,80.0
Res,1990-1999,Buildings and Infrastructure Lifetime,UK,2025,a,146.3
Res,1990-1999,Buildings and Infrastructure Lifetime,USA,2025,a,78.13
Res,1990-1999,Buildings and Infrastructure Lifetime,World,2025,a,63.33
Res,2000-2015,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Asia,2025,a,37.13
Res,2000-2015,Buildings and Infrastructure Lifetime,Brazil,2025,a,100.0
Res,2000-2015,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Canada,2025,a,51.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Chile,2025,a,60.0
Res,2000-2015,Buildings and Infrastructure Lifetime,China,2025,a,33.83
Res,2000-2015,Buildings and Infrastructure Lifetime,Cyprus,2025,a,125.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Czech Republic,2025,a,115.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Europe,2025,a,65.75
Res,2000-2015,Buildings and Infrastructure Lifetime,France,2025,a,125.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Germany,2025,a,121.2
Res,2000-2015,Buildings and Infrastructure Lifetime,Greece,2025,a,70.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Hungary,2025,a,125.0
Res,2000-2015,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Japan,2025,a,37.05
Res,2000-2015,Buildings and Infrastructure Lifetime,Mexico,2025,a,56.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Netherlands,2025,a,112.5
Res,2000-2015,Buildings and Infrastructure Lifetime,North America,2025,a,70.85
Res,2000-2015,Buildings and Infrastructure Lifetime,Norway,2025,a,125.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Oceania,2025,a,59.15
Res,2000-2015,Buildings and Infrastructure Lifetime,Serbia,2025,a,100.0
Res,2000-2015,Buildings and Infrastructure Lifetime,Slovenia,2025,a,120.0
Res,2000-2015,Buildings and Infrastructure Lifetime,South America,2025,a,66.0
Res,2000-2015,Buildings and Infrastructure Lifetime,South Korea,2025,a,20.5
Res,2000-2015,Buildings and Infrastructure Lifetime,Switzerland,2025,a,80.0
Res,2000-2015,Buildings and Infrastructure Lifetime,UK,2025,a,146.3
Res,2000-2015,Buildings and Infrastructure Lifetime,USA,2025,a,78.13
Res,2000-2015,Buildings and Infrastructure Lifetime,World,2025,a,63.33
Res,2016-2025,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Asia,2025,a,37.13
Res,2016-2025,Buildings and Infrastructure Lifetime,Brazil,2025,a,100.0
Res,2016-2025,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Canada,2025,a,51.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Chile,2025,a,60.0
Res,2016-2025,Buildings and Infrastructure Lifetime,China,2025,a,33.83
Res,2016-2025,Buildings and Infrastructure Lifetime,Cyprus,2025,a,125.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Czech Republic,2025,a,115.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Europe,2025,a,65.75
Res,2016-2025,Buildings and Infrastructure Lifetime,France,2025,a,125.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Germany,2025,a,121.2
Res,2016-2025,Buildings and Infrastructure Lifetime,Greece,2025,a,70.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Hungary,2025,a,125.0
Res,2016-2025,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Japan,2025,a,37.05
Res,2016-2025,Buildings and Infrastructure Lifetime,Mexico,2025,a,56.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Netherlands,2025,a,112.5
Res,2016-2025,Buildings and Infrastructure Lifetime,North America,2025,a,70.85
Res,2016-2025,Buildings and Infrastructure Lifetime,Norway,2025,a,125.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Oceania,2025,a,59.15
Res,2016-2025,Buildings and Infrastructure Lifetime,Serbia,2025,a,100.0
Res,2016-2025,Buildings and Infrastructure Lifetime,Slovenia,2025,a,120.0
Res,2016-2025,Buildings and Infrastructure Lifetime,South America,2025,a,66.0
Res,2016-2025,Buildings and Infrastructure Lifetime,South Korea,2025,a,20.5
Res,2016-2025,Buildings and Infrastructure Lifetime,Switzerland,2025,a,80.0
Res,2016-2025,Buildings and Infrastructure Lifetime,UK,2025,a,146.3
Res,2016-2025,Buildings and Infrastructure Lifetime,USA,2025,a,78.13
Res,2016-2025,Buildings and Infrastructure Lifetime,World,2025,a,63.33
